scenario,factor,base_val,delta,T_mean,T_std,Delta_T,Elasticity,p_value,n
tau_A_minus,tau_A,150,-0.1,6.4859375,0.240395432,-0.0109375,-0.016835017,0.570283916,40
tau_A_plus,tau_A,150,0.1,6.7046875,0.207524471,0.2078125,0.31986532,3.29E-06,40
tau_B_minus,tau_B,120,-0.1,6.496875,0.211332578,0,0,1,40
tau_B_plus,tau_B,120,0.1,6.6390625,0.240395432,0.1421875,0.218855219,9.98E-05,40
tau_C_minus,tau_C,150,-0.1,6.4859375,0.240395432,-0.0109375,-0.016835017,0.710519847,40
tau_C_plus,tau_C,150,0.1,6.7265625,0.214502023,0.2296875,0.353535354,5.31E-07,40
tau_E_minus,tau_E,180,-0.1,6.4421875,0.261891656,-0.0546875,-0.084175084,0.057730204,40
tau_E_plus,tau_E,180,0.1,7.2953125,0.207524471,0.7984375,1.228956229,1.18E-21,40
setup_A_minus,setup_A,30,-0.2,6.496875,0.233403435,0,0,NaN,40
setup_A_plus,setup_A,30,0.2,6.496875,0.233403435,0,0,NaN,40
setup_B_minus,setup_B,20,-0.2,6.496875,0.233403435,0,0,NaN,40
setup_B_plus,setup_B,20,0.2,6.496875,0.233403435,0,0,NaN,40
setup_C_minus,setup_C,20,-0.2,6.496875,0.233403435,0,0,NaN,40
setup_C_plus,setup_C,20,0.2,6.496875,0.233403435,0,0,NaN,40
setup_E_minus,setup_E,40,-0.2,6.496875,0.233403435,0,0,NaN,40
setup_E_plus,setup_E,40,0.2,6.496875,0.233403435,0,0,NaN,40
r2_E_minus,r2_E,0.05,-0.2,6.496875,0.233403435,0,0,NaN,40
r2_E_plus,r2_E,0.05,0.2,6.5078125,0.225652322,0.0109375,0.008417508,0.323474945,40
r1_E_minus,r1_E,0.03,-0.2,6.496875,0.233403435,0,0,NaN,40
r1_E_plus,r1_E,0.03,0.2,6.496875,0.233403435,0,0,NaN,40
K_half_minus,K_half,10.5,-0.5,6.635416667,0.173664522,0.138541667,0.447811448,0.000411615,40
K_half_plus,K_half,10.5,0.5,6.726041667,0.262318907,0.229166667,0.740740741,1.14E-08,40
